Date,hashrate30var
2012/02/24,5.5407101503533E+23
2012/02/25,5.5496656989396E+23
2012/02/26,5.4505982928178E+23
2012/02/27,5.3619178108981E+23
2012/02/28,5.3968080695636E+23
2012/02/29,6.3315680627562E+23
2012/03/01,6.3854964073738E+23
2012/03/02,6.1265420262617E+23
2012/03/03,6.9643034642747E+23
2012/03/04,6.9262004248699E+23
2012/03/05,6.9259239833438E+23
2012/03/06,7.0663954646835E+23
2012/03/07,7.1306484962509E+23
2012/03/08,7.774380823293E+23
2012/03/09,8.2488198044165E+23
2012/03/10,1.0239469955743E+24
2012/03/11,1.0221362902907E+24
2012/03/12,1.0340567614644E+24
2012/03/13,1.0914790744597E+24
2012/03/14,1.0971937515866E+24
2012/03/15,1.066093988111E+24
2012/03/16,9.9310967402707E+23
2012/03/17,1.0201815885272E+24
2012/03/18,1.041185134287E+24
2012/03/19,1.058249739424E+24
2012/03/20,1.0431556278087E+24
2012/03/21,1.0894336455294E+24
2012/03/22,9.5006507170968E+23
2012/03/23,9.6304289714461E+23
2012/03/24,9.8761568259527E+23
2012/03/25,1.0766307223526E+24
2012/03/26,1.0771357386411E+24
2012/03/27,1.076259387379E+24
2012/03/28,1.0632115623633E+24
2012/03/29,1.0539562770031E+24
2012/03/30,1.0413356886379E+24
2012/03/31,1.1570922516156E+24
2012/04/01,1.1559058335254E+24
2012/04/02,8.9561908280687E+23
2012/04/03,8.1790183503143E+23
2012/04/04,7.6905178981409E+23
2012/04/05,8.4108778121623E+23
2012/04/06,8.940494763651E+23
2012/04/07,9.030413123166E+23
2012/04/08,8.9751684601124E+23
2012/04/09,8.3583834637999E+23
2012/04/10,8.0077249056305E+23
2012/04/11,8.1206705491305E+23
2012/04/12,8.0326044171475E+23
2012/04/13,8.6633984069668E+23
2012/04/14,7.8035930703841E+23
2012/04/15,8.5567027985075E+23
2012/04/16,8.7716188431961E+23
2012/04/17,8.4234784352062E+23
2012/04/18,8.7350229685652E+23
2012/04/19,8.7507178360895E+23
2012/04/20,9.1568400487411E+23
2012/04/21,9.1307605717273E+23
2012/04/22,8.6923314824257E+23
2012/04/23,8.6161498014209E+23
2012/04/24,7.7902184896526E+23
2012/04/25,7.8580224538606E+23
2012/04/26,7.8470513196764E+23
2012/04/27,7.9904703216049E+23
2012/04/28,7.9162352216644E+23
2012/04/29,8.1529276537099E+23
2012/04/30,7.8517019815687E+23
2012/05/01,9.0399180193588E+23
2012/05/02,9.3644773063539E+23
2012/05/03,9.1740434703522E+23
2012/05/04,9.4818776326984E+23
2012/05/05,8.9523384384138E+23
2012/05/06,8.9187973554091E+23
2012/05/07,9.2667584535801E+23
2012/05/08,1.0889577200868E+24
2012/05/09,1.1977548912351E+24
2012/05/10,1.2694714576689E+24
2012/05/11,1.3066475685509E+24
2012/05/12,1.3216983033182E+24
2012/05/13,1.2282579175909E+24
2012/05/14,1.1498758010447E+24
2012/05/15,9.8780054875436E+23
2012/05/16,9.943199352388E+23
2012/05/17,1.0307790581275E+24
2012/05/18,9.3850055913927E+23
2012/05/19,9.4055653692987E+23
2012/05/20,9.2332696583949E+23
2012/05/21,9.2263966944769E+23
2012/05/22,1.0047826608963E+24
2012/05/23,1.0602403996678E+24
2012/05/24,1.0053742456486E+24
2012/05/25,1.1222349994305E+24
2012/05/26,1.1572469386462E+24
2012/05/27,1.0998594320623E+24
2012/05/28,1.0947888002025E+24
2012/05/29,1.1336884846678E+24
2012/05/30,1.1808912636297E+24
2012/05/31,1.095421238945E+24
2012/06/01,1.098943459366E+24
2012/06/02,1.1268400879084E+24
2012/06/03,1.1597062677694E+24
2012/06/04,1.1679540451989E+24
2012/06/05,1.1359726242509E+24
2012/06/06,1.1326950080645E+24
2012/06/07,9.8016731304997E+23
2012/06/08,8.3468148502684E+23
2012/06/09,7.9652639518081E+23
2012/06/10,8.4082302808217E+23
2012/06/11,8.8875575833912E+23
2012/06/12,8.9708066068774E+23
2012/06/13,9.3473361369413E+23
2012/06/14,9.3161596827014E+23
2012/06/15,9.117624521191E+23
2012/06/16,8.7930695023084E+23
