Date,difficulty90var
2013/07/16,27379933705045
2013/07/17,28387180321968
2013/07/18,29321476995436
2013/07/19,30182823725449
2013/07/20,30971220512007
2013/07/21,31686667355111
2013/07/22,32571067958192
2013/07/23,34551009323570
2013/07/24,36408353862601
2013/07/25,38143101575284
2013/07/26,39755252461621
2013/07/27,41244806521610
2013/07/28,42611763755251
2013/07/29,44018597552125
2013/07/30,45351713148531
2013/07/31,46574058204115
2013/08/01,47685632718876
2013/08/02,48686436692814
2013/08/03,50461392016643
2013/08/04,53288548508943
2013/08/05,55931460628160
2013/08/06,58390128374294
2013/08/07,60664551747346
2013/08/08,62754730747315
2013/08/09,64660665374201
2013/08/10,66436616984128
2013/08/11,68240065929446
2013/08/12,69873952236512
2013/08/13,72234483855036
2013/08/14,80010046138103
2013/08/15,87397956916368
2013/08/16,94398216189833
2013/08/17,1.010108239585E+14
2013/08/18,1.0723578022236E+14
2013/08/19,1.1307308498142E+14
2013/08/20,1.1852273823568E+14
2013/08/21,123584739985143
2013/08/22,1.282590902298E+14
2013/08/23,1.3263379710737E+14
2013/08/24,1.4000330684081E+14
2013/08/25,1.5407886685811E+14
2013/08/26,1.6744514274604E+14
2013/08/27,1.8010213450462E+14
2013/08/28,1.9204984213382E+14
2013/08/29,2.0328826563366E+14
2013/08/30,213817405004142
2013/08/31,2.2363726024525E+14
2013/09/01,2.32747831357E+14
2013/09/02,2.4114911833939E+14
2013/09/03,2.4942406750981E+14
2013/09/04,2.7224029426522E+14
2013/09/05,2.9975940392664E+14
2013/09/06,3.2602231707849E+14
2013/09/07,3.5102903372077E+14
2013/09/08,3.7477955385348E+14
2013/09/09,3.9727387747661E+14
2013/09/10,418512004590175
2013/09/11,4.3849393519417E+14
2013/09/12,4.5721966928859E+14
2013/09/13,4.7468920687344E+14
2013/09/14,4.9133713668567E+14
2013/09/15,5.4115388553145E+14
2013/09/16,588821772228543
2013/09/17,6.3434079677694E+14
2013/09/18,6.7771095917664E+14
2013/09/19,7.1893225942765E+14
2013/09/20,7.5800469752997E+14
2013/09/21,7.9492827348359E+14
2013/09/22,829702987288521
2013/09/23,8.6232883894476E+14
2013/09/24,892805828452298
