Date,sentinusd3stdUSD
2013/06/21,13035269
2013/06/22,27670918
2013/06/23,31415445
2013/06/24,20521273
2013/06/25,29352246
2013/06/26,9151066
2013/06/27,13517148
2013/06/28,6769226
2013/06/29,11405673
2013/06/30,18654822
2013/07/01,30311519
2013/07/02,29555559
2013/07/03,9895076
2013/07/04,6387781
2013/07/05,3689334
2013/07/06,21212731
2013/07/07,22917467
2013/07/08,14455841
2013/07/09,29897032
2013/07/10,18902700
2013/07/11,3124493
2013/07/12,4455013
2013/07/13,8679175
2013/07/14,30864740
2013/07/15,21828790
2013/07/16,27353410
2013/07/17,24350221
2013/07/18,6765462
2013/07/19,19203352
2013/07/20,34629511
2013/07/21,24229539
2013/07/22,30460463
2013/07/23,33796326
2013/07/24,5744251
2013/07/25,9007122
2013/07/26,6304831
2013/07/27,26002819
2013/07/28,21735393
2013/07/29,21863768
2013/07/30,31842058
2013/07/31,20083951
2013/08/01,23968716
2013/08/02,25794821
2013/08/03,38085464
2013/08/04,29621287
2013/08/05,24806557
2013/08/06,26071558
2013/08/07,5447370
2013/08/08,6844133
2013/08/09,14856537
2013/08/10,15986722
2013/08/11,14345452
2013/08/12,31953663
2013/08/13,66077508
2013/08/14,44108154
2013/08/15,45023237
2013/08/16,41085494
2013/08/17,21622174
2013/08/18,21965560
2013/08/19,22675184
2013/08/20,23071937
2013/08/21,31231374
2013/08/22,39397590
2013/08/23,42670884
2013/08/24,26090911
2013/08/25,26577766
2013/08/26,14572167
2013/08/27,32037764
2013/08/28,19032533
2013/08/29,15650036
2013/08/30,14654391
2013/08/31,15738907
2013/09/01,20536055
2013/09/02,9121709
2013/09/03,27714660
2013/09/04,19830664
2013/09/05,14348172
2013/09/06,17224278
2013/09/07,13045100
2013/09/08,27963109
2013/09/09,22546887
2013/09/10,21459152
2013/09/11,7957262
2013/09/12,8577836
2013/09/13,2814028
2013/09/14,13727613
2013/09/15,23212392
2013/09/16,26163303
2013/09/17,28073635
2013/09/18,11077849
2013/09/19,19690447
2013/09/20,11480778
2013/09/21,37367439
2013/09/22,28077851
2013/09/23,55707787
2013/09/24,51223382
2013/09/25,19096068
2013/09/26,18806952
2013/09/27,8882559
2013/09/28,18110382
2013/09/29,15746141
2013/09/30,31392626
2013/10/01,53524809
2013/10/02,28656252
2013/10/03,32659475
2013/10/04,33282136
2013/10/05,38291618
2013/10/06,36476515
2013/10/07,29787457
2013/10/08,29954455
2013/10/09,18354615
2013/10/10,17294636
2013/10/11,13205262
2013/10/12,9875528
2013/10/13,10222130
2013/10/14,27621113
2013/10/15,28590809
2013/10/16,19519860
2013/10/17,18612575
2013/10/18,18408949
2013/10/19,30372536
2013/10/20,31773645
2013/10/21,46173232
2013/10/22,74459735
2013/10/23,32061292
2013/10/24,17605607
2013/10/25,264416505
2013/10/26,309147319
2013/10/27,350033297
2013/10/28,26094540
2013/10/29,209194861
2013/10/30,186625380
2013/10/31,182520748
2013/11/01,17742159
2013/11/02,16909913
2013/11/03,9441070
2013/11/04,79578003
2013/11/05,100379000
2013/11/06,29056404
2013/11/07,77965160
2013/11/08,81513544
2013/11/09,20901826
2013/11/10,71674408
2013/11/11,68276390
2013/11/12,118600344
2013/11/13,169882383
2013/11/14,65310455
2013/11/15,556817568
2013/11/16,495295252
2013/11/17,429548208
2013/11/18,452644933
2013/11/19,623819052
2013/11/20,351083397
2013/11/21,400591053
2013/11/22,619218691
2013/11/23,401714501
2013/11/24,480346507
2013/11/25,59254866
2013/11/26,1988678471
2013/11/27,1877954801
2013/11/28,226607292
2013/11/29,476997112
2013/11/30,921123425
2013/12/01,927354884
2013/12/02,572301068
2013/12/03,157625957
2013/12/04,171095466
2013/12/05,245550287
2013/12/06,341805953
2013/12/07,531572880
2013/12/08,687853130
2013/12/09,695831996
2013/12/10,218646864
2013/12/11,230170538
2013/12/12,186015427
2013/12/13,165486673
2013/12/14,237681500
2013/12/15,334969053
2013/12/16,1089228903
2013/12/17,1000092821
2013/12/18,501959708
2013/12/19,226243847
2013/12/20,384144691
2013/12/21,211655422
2013/12/22,22143342
2013/12/23,118781690
2013/12/24,110775403
2013/12/25,110587821
2013/12/26,133050990
2013/12/27,130986712
2013/12/28,3537549
2013/12/29,154479155
2013/12/30,145908037
2013/12/31,235616109
2014/01/01,203873537
2014/01/02,145262170
2014/01/03,238885179
2014/01/04,165740797
2014/01/05,233585260
2014/01/06,335093011
2014/01/07,106498150
2014/01/08,260198670
2014/01/09,296936609
2014/01/10,147535468
2014/01/11,91833710
2014/01/12,94783046
2014/01/13,56326986
2014/01/14,199927410
2014/01/15,143365679
2014/01/16,97701210
2014/01/17,155931414
2014/01/18,168710721
2014/01/19,148618060
2014/01/20,286625017
2014/01/21,154133851
2014/01/22,206264816
2014/01/23,96255587
2014/01/24,175795561
2014/01/25,185653285
2014/01/26,222969337
2014/01/27,376851865
2014/01/28,345070928
2014/01/29,316317265
2014/01/30,88355243
2014/01/31,76971662
2014/02/01,76953568
2014/02/02,65591459
2014/02/03,30074094
2014/02/04,210386436
2014/02/05,199620461
2014/02/06,79569119
