Date,hashrate3wma
2018/06/19,3.9337137501186E+19
2018/06/20,3.8739025231608E+19
2018/06/21,4.0855098428509E+19
2018/06/22,4.0806573737637E+19
2018/06/23,3.9200212080018E+19
2018/06/24,4.1559871851618E+19
2018/06/25,4.1752033448575E+19
2018/06/26,3.9866322355846E+19
2018/06/27,3.7316316521106E+19
2018/06/28,3.5584006412262E+19
2018/06/29,3.5856832576834E+19
2018/06/30,3.6627047656931E+19
2018/07/01,3.7146296150528E+19
2018/07/02,3.7928201850369E+19
2018/07/03,3.5668493566924E+19
2018/07/04,3.4638079622732E+19
2018/07/05,3.4467855793753E+19
2018/07/06,3.7446761503963E+19
2018/07/07,4.0466640410452E+19
2018/07/08,4.1247930560138E+19
2018/07/09,4.037978198749E+19
2018/07/10,3.9572414847953E+19
2018/07/11,3.8866603447257E+19
2018/07/12,3.7658271276087E+19
2018/07/13,3.8067056642882E+19
2018/07/14,3.6650725843373E+19
2018/07/15,3.6080352755698E+19
2018/07/16,3.5421891445129E+19
2018/07/17,3.5423338327012E+19
2018/07/18,3.9208481311478E+19
2018/07/19,4.2400689259331E+19
2018/07/20,4.3665482101911E+19
2018/07/21,4.1489355120672E+19
2018/07/22,3.987751553198E+19
2018/07/23,4.2218267029265E+19
2018/07/24,4.3016657551286E+19
2018/07/25,4.2989486196005E+19
2018/07/26,4.3569253395213E+19
2018/07/27,4.2183576273578E+19
2018/07/28,4.1540208184558E+19
2018/07/29,4.4406248643075E+19
2018/07/30,4.2761986542883E+19
2018/07/31,4.2775696533737E+19
2018/08/01,4.3348884351889E+19
2018/08/02,4.478689047314E+19
2018/08/03,4.6237856495024E+19
2018/08/04,4.8574798355635E+19
2018/08/05,4.956329289105E+19
2018/08/06,4.6478545791265E+19
2018/08/07,4.3044737718581E+19
