Date,sentinusd30emaUSD
2013/05/12,108465031
2013/05/13,106277887
2013/05/14,104111612
2013/05/15,101624026
2013/05/16,99227379
2013/05/17,97681009
2013/05/18,95693609
2013/05/19,92327080
2013/05/20,89966457
2013/05/21,88638824
2013/05/22,87876992
2013/05/23,86998139
2013/05/24,86993032
2013/05/25,86652277
2013/05/26,84004195
2013/05/27,83464123
2013/05/28,83211965
2013/05/29,83321782
2013/05/30,82656488
2013/05/31,82190358
2013/06/01,80451738
2013/06/02,78298746
2013/06/03,78656701
2013/06/04,78105584
2013/06/05,77847752
2013/06/06,78185001
2013/06/07,77694285
2013/06/08,75217690
2013/06/09,74735874
2013/06/10,73008501
2013/06/11,72063218
2013/06/12,71004584
2013/06/13,70337637
2013/06/14,70339940
2013/06/15,68301808
2013/06/16,66950454
2013/06/17,66190127
2013/06/18,65924552
2013/06/19,65317673
2013/06/20,65737888
2013/06/21,65889294
2013/06/22,64269874
2013/06/23,62120395
2013/06/24,61719138
2013/06/25,61985147
2013/06/26,61624156
2013/06/27,60831999
2013/06/28,60562455
2013/06/29,59409400
2013/06/30,57770816
2013/07/01,58534638
2013/07/02,58467336
2013/07/03,58800416
2013/07/04,59184973
2013/07/05,59752660
2013/07/06,58739385
2013/07/07,57744733
2013/07/08,57826006
2013/07/09,59244873
2013/07/10,60467129
2013/07/11,61856544
2013/07/12,63251360
2013/07/13,63920485
2013/07/14,62825240
2013/07/15,62564537
2013/07/16,63689697
2013/07/17,65228543
2013/07/18,66232663
2013/07/19,66130917
2013/07/20,64364812
2013/07/21,62738765
2013/07/22,63288843
2013/07/23,64227614
2013/07/24,64753862
2013/07/25,64886425
2013/07/26,64891837
2013/07/27,63179801
2013/07/28,62407143
2013/07/29,62582530
2013/07/30,64332872
2013/07/31,65136950
2013/08/01,67778684
2013/08/02,68643446
2013/08/03,68051954
2013/08/04,66574767
2013/08/05,67151938
2013/08/06,67264139
2013/08/07,67624616
2013/08/08,67421309
2013/08/09,66598938
2013/08/10,65198601
2013/08/11,63388641
2013/08/12,64088717
2013/08/13,67565658
2013/08/14,71178503
2013/08/15,71313058
2013/08/16,73137976
2013/08/17,74151038
2013/08/18,74068141
2013/08/19,75775157
2013/08/20,76802441
2013/08/21,80127694
2013/08/22,80302443
2013/08/23,80498218
2013/08/24,78880038
2013/08/25,77331973
2013/08/26,76897652
2013/08/27,77993243
2013/08/28,78200404
2013/08/29,77999735
2013/08/30,78952057
2013/08/31,78842604
2013/09/01,78133901
2013/09/02,78111582
2013/09/03,79583904
2013/09/04,80626010
2013/09/05,80830558
2013/09/06,80435388
2013/09/07,79624905
2013/09/08,77212075
2013/09/09,76354159
2013/09/10,75681369
2013/09/11,75519885
2013/09/12,75559541
2013/09/13,75402288
2013/09/14,74428181
2013/09/15,72512631
2013/09/16,72787704
2013/09/17,72708664
2013/09/18,73502756
2013/09/19,74929816
2013/09/20,75406848
2013/09/21,73835373
2013/09/22,72575281
2013/09/23,75099212
2013/09/24,77024497
2013/09/25,77792431
2013/09/26,78102341
2013/09/27,78102212
2013/09/28,77033549
2013/09/29,76016129
2013/09/30,77221333
2013/10/01,80420820
2013/10/02,83168613
2013/10/03,83637007
2013/10/04,83757757
2013/10/05,81423606
2013/10/06,79144840
2013/10/07,79097371
2013/10/08,78982115
2013/10/09,80164221
2013/10/10,80234380
2013/10/11,80707975
2013/10/12,80370968
2013/10/13,80264233
2013/10/14,81941575
2013/10/15,83829967
2013/10/16,86743703
2013/10/17,88098886
2013/10/18,90473875
2013/10/19,93985982
2013/10/20,94761210
2013/10/21,99034391
2013/10/22,105322452
2013/10/23,110996755
2013/10/24,115217818
2013/10/25,137779560
2013/10/26,135879024
2013/10/27,132309715
2013/10/28,130750523
2013/10/29,142633917
2013/10/30,141640470
2013/10/31,139983586
2013/11/01,137759557
2013/11/02,135016922
2013/11/03,132484611
2013/11/04,135544407
2013/11/05,140700274
2013/11/06,144285189
2013/11/07,153484215
2013/11/08,161509492
2013/11/09,167968020
2013/11/10,169714573
2013/11/11,170669144
2013/11/12,179996214
2013/11/13,193548292
2013/11/14,205393917
2013/11/15,254987408
2013/11/16,276096812
2013/11/17,288877424
2013/11/18,334697962
2013/11/19,391648494
2013/11/20,417184786
2013/11/21,468146011
2013/11/22,537578787
2013/11/23,571638515
2013/11/24,599852377
2013/11/25,625528988
2013/11/26,785990776
2013/11/27,918396755
2013/11/28,1053435490
2013/11/29,1143001481
2013/11/30,1190767536
2013/12/01,1198201146
2013/12/02,1201577448
2013/12/03,1196193081
2013/12/04,1204501782
2013/12/05,1217798226
2013/12/06,1204579686
2013/12/07,1233842709
2013/12/08,1210140733
2013/12/09,1195882811
2013/12/10,1165287858
2013/12/11,1150267927
2013/12/12,1124591167
2013/12/13,1101200550
2013/12/14,1062748886
2013/12/15,1017188930
2013/12/16,1053434385
2013/12/17,1052221186
2013/12/18,1052684647
2013/12/19,1036899225
2013/12/20,1008022131
2013/12/21,980288075
2013/12/22,953322292
2013/12/23,920526792
2013/12/24,897438292
2013/12/25,875791807
2013/12/26,846461107
2013/12/27,819262277
2013/12/28,793823149
2013/12/29,780593745
2013/12/30,766923510
2013/12/31,738698271
2014/01/01,716024283
2014/01/02,702348653
2014/01/03,700775259
2014/01/04,687843922
2014/01/05,694006727
2014/01/06,707247187
2014/01/07,712549150
2014/01/08,704336254
2014/01/09,686425008
2014/01/10,669939569
2014/01/11,648102793
2014/01/12,627534983
2014/01/13,612216592
2014/01/14,609177787
2014/01/15,599898707
2014/01/16,590744778
2014/01/17,571755719
2014/01/18,552010074
2014/01/19,544553221
2014/01/20,549207693
2014/01/21,544616363
2014/01/22,532995432
2014/01/23,524016706
2014/01/24,526588488
2014/01/25,515075426
2014/01/26,501910684
