Date,size30rsi
2013/07/04,45.806
2013/07/05,45.113
2013/07/06,44.523
2013/07/07,43.708
2013/07/08,46.003
2013/07/09,47.071
2013/07/10,45.969
2013/07/11,48.651
2013/07/12,52.667
2013/07/13,48.753
2013/07/14,46.956
2013/07/15,47.788
2013/07/16,48.447
2013/07/17,47.405
2013/07/18,49.225
2013/07/19,47.126
2013/07/20,45.737
2013/07/21,45.736
2013/07/22,48.859
2013/07/23,50.432
2013/07/24,50.515
2013/07/25,52.188
2013/07/26,48.355
2013/07/27,47.222
2013/07/28,48.286
2013/07/29,49.061
2013/07/30,47.879
2013/07/31,50.738
2013/08/01,51.871
2013/08/02,50.062
2013/08/03,50.702
2013/08/04,49.32
2013/08/05,50.3
2013/08/06,50.785
2013/08/07,51.883
2013/08/08,50.78
2013/08/09,49.027
2013/08/10,49.089
2013/08/11,45.38
2013/08/12,51.713
2013/08/13,52.214
2013/08/14,52.946
2013/08/15,54.82
2013/08/16,56.773
2013/08/17,50.603
2013/08/18,50.693
2013/08/19,55.343
2013/08/20,52.477
2013/08/21,51.1
2013/08/22,50.549
2013/08/23,50.581
2013/08/24,50.376
2013/08/25,51.637
2013/08/26,52.476
2013/08/27,55.058
2013/08/28,53.147
2013/08/29,50.157
2013/08/30,50.783
2013/08/31,46.567
2013/09/01,46.272
2013/09/02,47.525
2013/09/03,50.213
2013/09/04,51.879
2013/09/05,51.392
2013/09/06,51.859
2013/09/07,52.892
2013/09/08,50.007
2013/09/09,49.146
2013/09/10,49.373
2013/09/11,47.348
2013/09/12,48.206
2013/09/13,46.728
2013/09/14,45.557
2013/09/15,51.329
2013/09/16,53.553
2013/09/17,53.962
2013/09/18,53.773
2013/09/19,50.606
2013/09/20,49.961
2013/09/21,49.214
2013/09/22,47.908
2013/09/23,50.854
2013/09/24,50.133
2013/09/25,48.491
2013/09/26,53.227
2013/09/27,49.189
2013/09/28,48.189
2013/09/29,48.342
2013/09/30,50.369
2013/10/01,51.011
2013/10/02,53.334
2013/10/03,51.451
2013/10/04,49.801
2013/10/05,46.368
2013/10/06,48.178
2013/10/07,51.521
2013/10/08,49.679
2013/10/09,50.245
2013/10/10,50.727
2013/10/11,49.664
2013/10/12,47.589
2013/10/13,48.785
2013/10/14,48.262
2013/10/15,46.953
2013/10/16,48.859
2013/10/17,50.606
2013/10/18,51.654
2013/10/19,50.165
2013/10/20,49.241
2013/10/21,51.272
2013/10/22,50.658
2013/10/23,50.691
2013/10/24,53.403
2013/10/25,49.685
2013/10/26,49.65
2013/10/27,48.481
2013/10/28,50.704
2013/10/29,51.834
2013/10/30,49.375
2013/10/31,50.607
2013/11/01,47.371
2013/11/02,47.3
2013/11/03,47.119
2013/11/04,49.107
2013/11/05,53.241
2013/11/06,56.111
2013/11/07,59.227
2013/11/08,60.113
2013/11/09,56.42
2013/11/10,53.539
2013/11/11,51.073
2013/11/12,50.135
2013/11/13,54.262
2013/11/14,54.107
2013/11/15,53.247
2013/11/16,47.532
2013/11/17,49.718
2013/11/18,58.694
2013/11/19,62.175
2013/11/20,55.484
2013/11/21,57.895
2013/11/22,54.38
2013/11/23,53.135
2013/11/24,51.333
2013/11/25,51.778
2013/11/26,55.535
2013/11/27,56.322
2013/11/28,55.109
2013/11/29,55.195
2013/11/30,51.601
2013/12/01,50.804
2013/12/02,53.518
2013/12/03,50.415
2013/12/04,53.328
