Date,confirmationtime
2013/10/25,6.128
2013/10/26,7.912
2013/10/27,8.045
2013/10/28,8.229
2013/10/29,9
2013/10/30,7.385
2013/10/31,6.825
2013/11/01,6.923
2013/11/02,7.129
2013/11/03,7.5
2013/11/04,7.385
2013/11/05,8.276
2013/11/06,8.834
2013/11/07,10
2013/11/08,10.746
2013/11/09,9.73
2013/11/10,8.421
2013/11/11,7.701
2013/11/12,7.164
2013/11/13,8.571
2013/11/14,7.869
2013/11/15,8.675
2013/11/16,7.423
2013/11/17,7.742
2013/11/18,9.231
2013/11/19,8.944
2013/11/20,8.78
2013/11/21,9.6
2013/11/22,8.372
2013/11/23,8.471
2013/11/24,8.571
2013/11/25,8.324
2013/11/26,9.057
2013/11/27,8.324
2013/11/28,7.956
2013/11/29,8.324
2013/11/30,8.182
2013/12/01,7.385
2013/12/02,9.057
2013/12/03,7.2
2013/12/04,8.421
2013/12/05,8.471
2013/12/06,6.923
2013/12/07,7.385
2013/12/08,7.385
2013/12/09,8.182
2013/12/10,7.5
2013/12/11,8.727
2013/12/12,8.834
2013/12/13,8.276
2013/12/14,7.273
2013/12/15,8.136
2013/12/16,7.164
2013/12/17,7.094
2013/12/18,7.236
2013/12/19,6.372
2013/12/20,8.09
2013/12/21,8.944
2013/12/22,8.521
2013/12/23,8.421
2013/12/24,8.521
2013/12/25,8.889
2013/12/26,8
2013/12/27,7.826
2013/12/28,9.6
2013/12/29,8.571
2013/12/30,8.324
2013/12/31,7.826
2014/01/01,7.024
2014/01/02,10.746
2014/01/03,8.944
2014/01/04,10.213
2014/01/05,7.461
2014/01/06,7.742
2014/01/07,8.136
2014/01/08,7.461
2014/01/09,6.957
2014/01/10,7.701
2014/01/11,6.857
2014/01/12,6.957
