Date,mediantransactionvalue90stdUSD
2013/03/29,27.228
2013/03/30,27.368
2013/03/31,27.759
2013/04/01,28.818
2013/04/02,32.06
2013/04/03,35.657
2013/04/04,40.642
2013/04/05,45.16
2013/04/06,46.74
2013/04/07,47.111
2013/04/08,51.324
2013/04/09,61.185
2013/04/10,88.13
2013/04/11,89.385
2013/04/12,90.037
2013/04/13,89.999
2013/04/14,89.76
2013/04/15,89.754
2013/04/16,89.588
2013/04/17,89.581
2013/04/18,89.994
2013/04/19,90.281
2013/04/20,90.185
2013/04/21,90.216
2013/04/22,90.534
2013/04/23,90.604
2013/04/24,90.699
2013/04/25,90.97
2013/04/26,91.167
2013/04/27,91.211
2013/04/28,91.145
2013/04/29,91.359
2013/04/30,91.415
2013/05/01,91.453
2013/05/02,91.192
2013/05/03,90.981
2013/05/04,90.633
2013/05/05,90.343
2013/05/06,90.216
2013/05/07,90.144
2013/05/08,89.863
2013/05/09,89.558
2013/05/10,89.267
2013/05/11,88.92
2013/05/12,88.591
2013/05/13,88.296
2013/05/14,87.876
2013/05/15,87.587
2013/05/16,87.225
2013/05/17,86.782
2013/05/18,86.416
2013/05/19,86.007
2013/05/20,85.581
2013/05/21,85.257
2013/05/22,84.953
2013/05/23,84.577
2013/05/24,84.329
2013/05/25,83.669
2013/05/26,83.03
2013/05/27,82.407
2013/05/28,81.869
2013/05/29,81.472
2013/05/30,80.932
2013/05/31,80.457
2013/06/01,79.564
2013/06/02,78.778
2013/06/03,78.293
2013/06/04,77.842
2013/06/05,77.189
2013/06/06,76.555
2013/06/07,75.995
2013/06/08,75.129
2013/06/09,74.374
2013/06/10,73.811
2013/06/11,73.153
2013/06/12,72.426
2013/06/13,71.804
2013/06/14,71.483
2013/06/15,71.003
2013/06/16,70.984
2013/06/17,70.936
2013/06/18,70.768
2013/06/19,70.465
2013/06/20,70.298
2013/06/21,69.868
2013/06/22,69.325
2013/06/23,69.037
2013/06/24,68.97
2013/06/25,68.85
2013/06/26,68.678
2013/06/27,68.568
2013/06/28,68.129
2013/06/29,67.8
2013/06/30,67.808
2013/07/01,67.914
2013/07/02,67.876
2013/07/03,68.033
2013/07/04,67.473
2013/07/05,67.49
2013/07/06,67.675
2013/07/07,67.158
2013/07/08,62.947
2013/07/09,31.324
2013/07/10,31.023
2013/07/11,33.977
2013/07/12,34.258
2013/07/13,33.701
2013/07/14,33.906
2013/07/15,33.496
2013/07/16,33.76
2013/07/17,33.729
2013/07/18,33.865
2013/07/19,33.674
2013/07/20,34.216
2013/07/21,34.383
2013/07/22,34.344
2013/07/23,34.374
2013/07/24,34.324
2013/07/25,34.265
2013/07/26,34.325
2013/07/27,34.707
2013/07/28,35.138
2013/07/29,35.213
2013/07/30,35.346
2013/07/31,35.299
2013/08/01,35.264
2013/08/02,34.574
2013/08/03,34.929
2013/08/04,35.588
2013/08/05,35.534
2013/08/06,36.012
2013/08/07,36.357
2013/08/08,37.189
2013/08/09,37.004
2013/08/10,37.226
2013/08/11,37.695
2013/08/12,37.758
2013/08/13,37.757
2013/08/14,37.676
2013/08/15,38.049
2013/08/16,39.577
2013/08/17,41.236
2013/08/18,42.676
2013/08/19,43.89
2013/08/20,44.491
2013/08/21,44.614
2013/08/22,44.805
2013/08/23,45.106
2013/08/24,45.808
2013/08/25,46.266
2013/08/26,46.319
2013/08/27,45.984
2013/08/28,46.114
2013/08/29,46.124
2013/08/30,46.178
2013/08/31,46.16
2013/09/01,46.459
2013/09/02,46.31
2013/09/03,46.269
2013/09/04,46.237
2013/09/05,46.606
2013/09/06,47.01
2013/09/07,47.818
2013/09/08,48.727
2013/09/09,49.533
2013/09/10,49.787
2013/09/11,49.073
2013/09/12,48.657
2013/09/13,48.726
2013/09/14,48.918
2013/09/15,49.93
2013/09/16,49.899
2013/09/17,50.446
2013/09/18,50.74
2013/09/19,50.354
2013/09/20,50.322
2013/09/21,50.557
2013/09/22,50.85
2013/09/23,50.811
2013/09/24,50.615
2013/09/25,50.486
2013/09/26,50.363
2013/09/27,50.926
2013/09/28,51.142
2013/09/29,50.501
2013/09/30,51.51
2013/10/01,49.853
2013/10/02,49.986
2013/10/03,49.927
2013/10/04,49.889
