Date,sentbyaddress3sma
2014/03/15,105503
2014/03/16,91711
2014/03/17,92800
2014/03/18,92104
2014/03/19,96900
2014/03/20,94379
2014/03/21,106756
2014/03/22,106915
2014/03/23,103068
2014/03/24,98818
2014/03/25,102584
2014/03/26,110614
2014/03/27,116843
2014/03/28,120246
2014/03/29,113058
2014/03/30,98432
2014/03/31,96533
2014/04/01,105981
2014/04/02,117948
2014/04/03,109824
2014/04/04,110564
2014/04/05,104420
2014/04/06,108448
2014/04/07,103691
2014/04/08,107212
2014/04/09,113891
2014/04/10,119642
2014/04/11,121542
2014/04/12,110017
2014/04/13,100194
2014/04/14,103542
2014/04/15,115301
2014/04/16,121796
2014/04/17,113338
2014/04/18,105847
2014/04/19,98796
2014/04/20,94168
2014/04/21,91922
2014/04/22,102710
2014/04/23,107747
2014/04/24,110995
2014/04/25,108130
2014/04/26,102616
2014/04/27,96460
2014/04/28,94636
2014/04/29,102453
2014/04/30,110565
2014/05/01,107222
2014/05/02,101178
