Date,sentbyaddress3std
2013/11/14,11287
2013/11/15,7890
2013/11/16,17021
2013/11/17,11022
2013/11/18,42060
2013/11/19,54345
2013/11/20,23363
2013/11/21,29779
2013/11/22,6715
2013/11/23,4942
2013/11/24,23508
2013/11/25,18776
2013/11/26,34270
2013/11/27,33786
2013/11/28,13501
2013/11/29,10498
2013/11/30,26443
2013/12/01,19499
2013/12/02,3968
2013/12/03,7937
2013/12/04,8880
2013/12/05,7755
2013/12/06,14703
2013/12/07,22053
2013/12/08,30365
2013/12/09,24802
2013/12/10,24498
2013/12/11,183.886
2013/12/12,10923
2013/12/13,9522
2013/12/14,5593
2013/12/15,8554
2013/12/16,18982
2013/12/17,20560
2013/12/18,15135
2013/12/19,15836
2013/12/20,23111
2013/12/21,17270
2013/12/22,13629
2013/12/23,6033
2013/12/24,9964
2013/12/25,6341
2013/12/26,6184
2013/12/27,6214
2013/12/28,8701
2013/12/29,10989
2013/12/30,16374
2013/12/31,15399
2014/01/01,19975
2014/01/02,19252
2014/01/03,25942
2014/01/04,14469
2014/01/05,14482
2014/01/06,20754
2014/01/07,13335
2014/01/08,13898
2014/01/09,1398
2014/01/10,4623
2014/01/11,4782
2014/01/12,8554
2014/01/13,8078
2014/01/14,7858
2014/01/15,4767
2014/01/16,6153
2014/01/17,6240
2014/01/18,9120
2014/01/19,9278
2014/01/20,26606
2014/01/21,29567
2014/01/22,6956
2014/01/23,12783
2014/01/24,6811
2014/01/25,12070
2014/01/26,11463
2014/01/27,15973
2014/01/28,17028
2014/01/29,9288
2014/01/30,9346
2014/01/31,7469
2014/02/01,6566
2014/02/02,9613
2014/02/03,10270
2014/02/04,21217
2014/02/05,11654
2014/02/06,8561
2014/02/07,8277
2014/02/08,12461
2014/02/09,25256
2014/02/10,15423
2014/02/11,15617
2014/02/12,5538
2014/02/13,6308
2014/02/14,13840
2014/02/15,9219
2014/02/16,24836
2014/02/17,16543
2014/02/18,17360
2014/02/19,24949
2014/02/20,22677
2014/02/21,4351
2014/02/22,20408
2014/02/23,17741
2014/02/24,28275
2014/02/25,28545
2014/02/26,11309
2014/02/27,24250
2014/02/28,17905
2014/03/01,5497
2014/03/02,15643
2014/03/03,38065
2014/03/04,48681
2014/03/05,16710
2014/03/06,22531
2014/03/07,9873
2014/03/08,9513
2014/03/09,9204
2014/03/10,4938
2014/03/11,5058
2014/03/12,13668
2014/03/13,9696
2014/03/14,23085
2014/03/15,31299
2014/03/16,17653
2014/03/17,20705
2014/03/18,21548
2014/03/19,18341
2014/03/20,13301
2014/03/21,21786
2014/03/22,21544
2014/03/23,28330
