Date,mining_profitability30var
2014/02/11,1698
2014/02/12,1826
2014/02/13,1979
2014/02/14,1973
2014/02/15,2038
2014/02/16,2125
2014/02/17,2140
2014/02/18,2159
2014/02/19,1888
2014/02/20,1916
2014/02/21,1757
2014/02/22,1652
2014/02/23,1601
2014/02/24,1597
2014/02/25,1663
2014/02/26,1505
2014/02/27,1517
2014/02/28,1495
2014/03/01,1371
2014/03/02,1290
2014/03/03,1159
2014/03/04,953.609
2014/03/05,835.785
2014/03/06,616.836
2014/03/07,520.042
2014/03/08,385.431
2014/03/09,360.522
2014/03/10,315.701
2014/03/11,313.539
2014/03/12,250.753
2014/03/13,236.656
2014/03/14,198.563
2014/03/15,192.191
2014/03/16,179.086
2014/03/17,166.494
2014/03/18,134.199
2014/03/19,134.677
2014/03/20,124.157
2014/03/21,109.244
