Date,confirmationtime3trx
2013/06/11,0.475
2013/06/12,-1.692
2013/06/13,-1.708
2013/06/14,-0.828
2013/06/15,0.353
2013/06/16,0.083
2013/06/17,3.136
2013/06/18,5.084
2013/06/19,5.536
2013/06/20,3.07
2013/06/21,0.167
2013/06/22,-1.864
2013/06/23,-1.858
2013/06/24,-0.158
2013/06/25,0.349
2013/06/26,-0.834
2013/06/27,-1.061
2013/06/28,-1.071
2013/06/29,-0.918
2013/06/30,0.573
2013/07/01,1.067
2013/07/02,1.385
2013/07/03,-0.871
2013/07/04,-0.954
2013/07/05,-2.004
2013/07/06,-2.503
2013/07/07,-2.343
2013/07/08,-2.263
2013/07/09,-1.527
2013/07/10,-1.505
2013/07/11,0.021
2013/07/12,2.704
2013/07/13,3.469
2013/07/14,1.916
2013/07/15,1.269
2013/07/16,0.894
2013/07/17,-0.756
2013/07/18,-0.023
2013/07/19,-0.115
2013/07/20,-1.245
2013/07/21,-2.555
2013/07/22,-0.711
2013/07/23,3.017
2013/07/24,2.876
2013/07/25,3.139
2013/07/26,1.361
2013/07/27,-1.043
2013/07/28,-1.36
2013/07/29,-1.776
2013/07/30,-2.92
2013/07/31,-2.896
2013/08/01,-1.539
2013/08/02,-1.453
2013/08/03,0.123
2013/08/04,0.42
2013/08/05,-0.314
2013/08/06,-0.835
2013/08/07,-0.714
2013/08/08,-1.628
2013/08/09,-1.457
2013/08/10,-1.92
2013/08/11,-2.34
2013/08/12,-2.283
2013/08/13,0.193
2013/08/14,2.966
2013/08/15,3.726
2013/08/16,3.493
2013/08/17,1.218
2013/08/18,-0.512
2013/08/19,-0.136
2013/08/20,-0.545
2013/08/21,-1.153
2013/08/22,-2.445
2013/08/23,-1.812
2013/08/24,-0.131
2013/08/25,3.672
2013/08/26,3.788
2013/08/27,2.66
2013/08/28,0.98
2013/08/29,-0.738
2013/08/30,-2.427
2013/08/31,-3.917
2013/09/01,-4.177
2013/09/02,-3.379
2013/09/03,-1.145
2013/09/04,2.842
2013/09/05,3.202
2013/09/06,2.075
2013/09/07,4.602
2013/09/08,4.321
2013/09/09,0.173
2013/09/10,-1.65
2013/09/11,-2.638
2013/09/12,-3.434
2013/09/13,-2.972
2013/09/14,-2.961
2013/09/15,-0.366
2013/09/16,3.751
2013/09/17,3.153
2013/09/18,3.011
2013/09/19,0.791
2013/09/20,-1.216
2013/09/21,-1.419
2013/09/22,-1.958
2013/09/23,-2.437
2013/09/24,-2.507
2013/09/25,-1.861
2013/09/26,2.095
2013/09/27,2.79
2013/09/28,2.424
2013/09/29,2.348
2013/09/30,2.605
2013/10/01,0.667
2013/10/02,-0.867
2013/10/03,-1.962
2013/10/04,-1.046
2013/10/05,-2.448
2013/10/06,-1.239
2013/10/07,2.275
2013/10/08,3.484
2013/10/09,1.886
2013/10/10,-0.272
2013/10/11,-0.951
2013/10/12,-2.635
2013/10/13,-3.694
2013/10/14,-5.024
2013/10/15,-5.661
2013/10/16,-2.898
2013/10/17,2.792
2013/10/18,3.424
2013/10/19,0.782
2013/10/20,0.408
2013/10/21,-0.289
2013/10/22,-2.321
2013/10/23,-2.132
2013/10/24,-1.147
2013/10/25,-1.464
2013/10/26,1.77
2013/10/27,3.807
2013/10/28,4.4
2013/10/29,5.218
2013/10/30,2.204
2013/10/31,-0.813
