Date,size
2014/01/22,171744
2014/01/23,185410
2014/01/24,170855
2014/01/25,166145
2014/01/26,177972
2014/01/27,187324
2014/01/28,215743
2014/01/29,192447
2014/01/30,174477
2014/01/31,167472
2014/02/01,151534
2014/02/02,158461
2014/02/03,180757
2014/02/04,221055
2014/02/05,220861
2014/02/06,209941
2014/02/07,245081
2014/02/08,186775
2014/02/09,210430
2014/02/10,210551
2014/02/11,199251
2014/02/12,250821
2014/02/13,217642
2014/02/14,224662
2014/02/15,180053
2014/02/16,145444
2014/02/17,216669
2014/02/18,225504
2014/02/19,205708
2014/02/20,226416
2014/02/21,255432
2014/02/22,184890
2014/02/23,210420
2014/02/24,225871
2014/02/25,281565
2014/02/26,232944
2014/02/27,207773
2014/02/28,236553
2014/03/01,261161
2014/03/02,239181
2014/03/03,332320
2014/03/04,357272
2014/03/05,283388
2014/03/06,244991
2014/03/07,248962
2014/03/08,211012
2014/03/09,199690
2014/03/10,278097
2014/03/11,251329
2014/03/12,239480
2014/03/13,256739
2014/03/14,305773
2014/03/15,186015
2014/03/16,167408
2014/03/17,211458
2014/03/18,175411
2014/03/19,222795
2014/03/20,216573
2014/03/21,234145
2014/03/22,242950
2014/03/23,144833
2014/03/24,217219
2014/03/25,246453
2014/03/26,243656
2014/03/27,238780
2014/03/28,219985
2014/03/29,172899
2014/03/30,232368
2014/03/31,209396
2014/04/01,217939
2014/04/02,196163
2014/04/03,175120
2014/04/04,197978
2014/04/05,191975
2014/04/06,212368
2014/04/07,243620
2014/04/08,292598
2014/04/09,243742
2014/04/10,254334
2014/04/11,223656
2014/04/12,169964
2014/04/13,162260
2014/04/14,216048
2014/04/15,241539
2014/04/16,270984
2014/04/17,223631
2014/04/18,205478
2014/04/19,193237
2014/04/20,169511
2014/04/21,190616
2014/04/22,288040
2014/04/23,241953
2014/04/24,279755
2014/04/25,226597
2014/04/26,179961
2014/04/27,180924
2014/04/28,238892
