Date,transactions3wma
2013/11/25,68104
2013/11/26,75601
2013/11/27,87357
2013/11/28,95027
2013/11/29,93762
2013/11/30,83934
2013/12/01,75963
2013/12/02,74190
2013/12/03,75862
2013/12/04,78117
2013/12/05,80952
2013/12/06,76892
2013/12/07,71574
2013/12/08,58129
2013/12/09,58738
2013/12/10,62746
2013/12/11,66622
2013/12/12,62647
2013/12/13,60513
2013/12/14,56586
2013/12/15,54009
2013/12/16,60944
2013/12/17,65517
2013/12/18,74698
2013/12/19,73386
2013/12/20,69355
2013/12/21,61271
2013/12/22,55822
2013/12/23,53944
2013/12/24,54668
2013/12/25,55214
2013/12/26,53253
2013/12/27,52488
2013/12/28,49942
2013/12/29,50280
2013/12/30,52749
2013/12/31,51338
2014/01/01,46894
2014/01/02,49717
2014/01/03,55766
2014/01/04,55335
2014/01/05,56675
2014/01/06,61728
2014/01/07,63503
2014/01/08,62730
2014/01/09,60283
2014/01/10,56805
2014/01/11,55620
2014/01/12,52710
2014/01/13,52697
2014/01/14,54760
2014/01/15,58668
2014/01/16,58271
2014/01/17,58514
2014/01/18,54744
2014/01/19,50863
2014/01/20,55916
2014/01/21,65114
2014/01/22,67427
2014/01/23,65649
2014/01/24,64779
2014/01/25,59220
2014/01/26,55517
2014/01/27,58860
2014/01/28,63109
2014/01/29,62334
2014/01/30,61090
2014/01/31,60172
2014/02/01,57457
2014/02/02,54379
2014/02/03,55250
2014/02/04,62669
2014/02/05,66459
2014/02/06,69047
2014/02/07,69732
2014/02/08,67530
2014/02/09,61556
2014/02/10,62965
2014/02/11,65171
2014/02/12,64445
2014/02/13,65407
2014/02/14,70061
2014/02/15,66947
2014/02/16,61687
2014/02/17,59746
2014/02/18,62411
2014/02/19,66836
2014/02/20,69672
2014/02/21,69932
2014/02/22,64154
2014/02/23,60990
2014/02/24,66520
2014/02/25,74480
2014/02/26,75404
2014/02/27,72986
2014/02/28,70777
2014/03/01,66777
2014/03/02,61018
2014/03/03,69933
2014/03/04,78680
2014/03/05,77788
2014/03/06,73331
2014/03/07,71580
2014/03/08,67996
2014/03/09,64495
2014/03/10,66765
2014/03/11,71927
2014/03/12,75213
2014/03/13,74380
2014/03/14,72148
