Date,fee_to_reward3rocUSD
2013/07/31,81.817
2013/08/01,26.458
2013/08/02,-20.601
2013/08/03,-39.765
2013/08/04,-18.549
2013/08/05,-2.866
2013/08/06,40.684
2013/08/07,-3.687
2013/08/08,61.958
2013/08/09,2.616
2013/08/10,-16.625
2013/08/11,-36.175
2013/08/12,-47.568
2013/08/13,14.982
2013/08/14,71.89
2013/08/15,213.388
2013/08/16,70.922
2013/08/17,-41.891
2013/08/18,-36.016
2013/08/19,-1.615
2013/08/20,17.995
2013/08/21,-30.559
2013/08/22,-34.396
2013/08/23,-3.858
2013/08/24,-7.544
2013/08/25,11.606
2013/08/26,41.77
2013/08/27,54.95
2013/08/28,595.503
2013/08/29,-41.548
2013/08/30,-9.021
2013/08/31,-89.92
2013/09/01,-20.868
2013/09/02,3.002
2013/09/03,14.764
2013/09/04,46.494
2013/09/05,-17.32
2013/09/06,12.283
2013/09/07,1.728
2013/09/08,-8.538
2013/09/09,-16.78
2013/09/10,-20.735
2013/09/11,-32.08
2013/09/12,-5.194
2013/09/13,-22.932
2013/09/14,-17.54
2013/09/15,7.096
2013/09/16,158.236
2013/09/17,1609
2013/09/18,317.998
2013/09/19,78.996
2013/09/20,-91.514
2013/09/21,-77.812
2013/09/22,-72.779
2013/09/23,38.874
2013/09/24,2.128
2013/09/25,16.313
2013/09/26,-10.543
2013/09/27,217.027
2013/09/28,-2.215
2013/09/29,-9.375
2013/09/30,-65.558
2013/10/01,41.542
2013/10/02,37.03
2013/10/03,16.29
2013/10/04,-34.044
2013/10/05,-42.761
2013/10/06,-37.59
2013/10/07,51.311
2013/10/08,-10.652
2013/10/09,47.936
2013/10/10,-22.403
2013/10/11,15.59
2013/10/12,-11.335
2013/10/13,-13.674
2013/10/14,7.412
2013/10/15,-1.023
2013/10/16,60.672
2013/10/17,64.783
2013/10/18,33.951
2013/10/19,-27.478
2013/10/20,-34.311
2013/10/21,-10.55
2013/10/22,4.56
2013/10/23,44.326
2013/10/24,31.957
2013/10/25,27.556
2013/10/26,-6.218
2013/10/27,36.268
2013/10/28,-17.939
