Date,activeaddresses90var
2013/12/23,1556100616
2013/12/24,1536878342
2013/12/25,1516625174
2013/12/26,1494966539
2013/12/27,1462839557
2013/12/28,1433325153
2013/12/29,1412668539
2013/12/30,1408073199
2013/12/31,1404341421
2014/01/01,1399479819
2014/01/02,1376004241
2014/01/03,1338571267
2014/01/04,1291609075
2014/01/05,1263561143
2014/01/06,1261553288
2014/01/07,1235831044
2014/01/08,1211923768
2014/01/09,1183150733
2014/01/10,1137173499
2014/01/11,1115364299
2014/01/12,1090279579
2014/01/13,1069413909
2014/01/14,1051410235
2014/01/15,1020657600
2014/01/16,994470305
2014/01/17,974737986
